N	Name	CoreFr	BoostFr	MemGb	MemFr	Bits	Price
329400	GeForce RTX2060 Super Zotac AMP Extreme PCI-E 8192Mb (ZT-T20610B-10P)	1470	1710	8	14000	256	44880
338993	GeForce RTX2060 Super ASUS PCI-E 8192Mb (ROG-STRIX-RTX2060S-8G-EVO-GAMING)	1470	1680	8	14000	256	45320
300952	GeForce RTX2070 EVGA XC ULTRA GAMING PCI-E 8192Mb (08G-P4-2173-KR)	1725	1725	8	14000	256	45320
341565	GeForce RTX2070 Super Gigabyte PCI-E 8192Mb (GV-N207SWF3-8GD)	1770	1770	8	14000	256	45670
336844	GeForce RTX2060 Super Colorful PCI-E 8192Mb (RTX 2060 SUPER Vulcan X OC-V)	1470	1875	8	14000	256	45750
302233	GeForce RTX2070 Zotac AMP Extreme PCI-E 8192Mb (ZT-T20700B-10P)	1860	1860	8	14400	256	46630
331045	GeForce RTX2070 Super Gigabyte PCI-E 8192Mb (GV-N207SGAMING OC-8GD)	1815	1815	8	14000	256	47450
341459	GeForce RTX2070 Super Zotac Mini PCI-E 8192Mb (ZT-T20710E-10B) OEM	1770	1770	8	14000	256	47930
326513	GeForce RTX2070 Super Palit X PCI-E 8192Mb (NE6207S019P2-180F)	1607	1770	8	14000	256	48170
344942	GeForce RTX2070 Super Palit GamingPro OC PCI-E 8192Mb (NE6207ST19P2-180T)	1605	1800	8	14000	256	48680
